frame_idx,t_sec,ok,dx_px,dy_px,speed_mps,num_tracks
0,0.0,0,0.0,0.0,0.0,
1,0.04170833333333333,1,0.165496826171875,5.951171875,11.819761789224284,836
2,0.08341666666666667,1,0.0370330810546875,6.07366943359375,12.058619444986023,831
3,0.125125,1,0.1272125244140625,6.007904052734375,11.930501212823478,826
4,0.16683333333333333,1,0.0486297607421875,5.998748779296875,11.91004246830044,820
5,0.20854166666666665,1,0.0539093017578125,6.21905517578125,12.347501612934854,817
6,0.25025,1,0.019439697265625,6.000457763671875,11.913106596488957,811
7,0.2919583333333333,1,0.0768890380859375,6.2041015625,12.31829538375618,806
8,0.33366666666666667,1,0.006378173828125,6.18218994140625,12.273853658039323,801
9,0.37537499999999996,1,0.0,0.0,12.273853658039323,801
10,0.4170833333333333,1,0.051971435546875,6.06402587890625,12.03969155918269,799
11,0.45879166666666665,1,0.0841064453125,6.28790283203125,12.484841547687706,793
12,0.5005,1,0.0263671875,6.22479248046875,12.358539195858627,787
13,0.5422083333333333,1,0.043182373046875,6.17401123046875,12.257909285788264,781
14,0.5839166666666666,1,0.0087127685546875,6.0322265625,11.976128942689865,777
15,0.625625,1,0.0207061767578125,6.229400634765625,12.36764547534355,768
16,0.6673333333333333,1,0.014495849609375,6.1896209716796875,12.288634065559929,764
17,0.7090416666666666,1,0.0050506591796875,6.213623046875,12.336257101790585,760
18,0.7507499999999999,1,0.0224151611328125,6.22412109375,12.35717551877135,756
19,0.7924583333333333,1,0.044769287109375,6.324554443359375,12.556805907944117,744
20,0.8341666666666666,1,0.0090179443359375,6.187347412109375,12.284099587859904,738
21,0.875875,1,0.0,0.0,12.284099587859904,737
22,0.9175833333333333,1,0.01097869873046875,6.253631591796875,12.415703358989983,734
23,0.9592916666666667,1,0.0015716552734375,6.31689453125,12.541284062971487,734
24,1.001,1,0.0181427001953125,6.14715576171875,12.204344965488676,723
25,1.0427083333333333,1,0.015228271484375,6.23492431640625,12.378580548484056,719
26,1.0844166666666666,1,0.006561279296875,6.177978515625,12.265492864268234,711
27,1.1261249999999998,1,0.039459228515625,6.3621826171875,12.631439580209259,707
28,1.1678333333333333,1,0.003997802734375,6.25823974609375,12.424835587568511,701
29,1.2095416666666665,1,0.052032470703125,6.1658782958984375,12.24189857219798,693
30,1.25125,1,0.016815185546875,6.2950439453125,12.497947073022715,689
31,1.2929583333333332,1,0.023345947265625,6.1129150390625,12.13640029921026,685
32,1.3346666666666667,1,0.0,0.0,12.13640029921026,685
33,1.376375,1,-0.004241943359375,6.243408203125,12.395390022455384,681
34,1.4180833333333331,1,0.0315093994140625,6.332275390625,12.571975796101588,666
35,1.4597916666666666,1,0.00333404541015625,6.154449462890625,12.218774196757224,662
36,1.5014999999999998,1,0.018707275390625,6.26385498046875,12.43603675189114,661
37,1.5432083333333333,1,0.007354736328125,6.2452239990234375,12.399000760461929,658
38,1.5849166666666665,1,0.0311737060546875,6.396240234375,12.698963952365974,656
39,1.626625,1,-0.001495361328125,6.2642669677734375,12.436799586771802,652
40,1.6683333333333332,1,0.0240936279296875,6.2867431640625,12.481514141975445,648
41,1.7100416666666665,1,0.0048370361328125,6.2735595703125,12.455252057617315,643
42,1.75175,1,0.0062713623046875,6.26220703125,12.432715759885722,638
43,1.7934583333333332,1,0.0,0.0,12.432715759885722,637
44,1.8351666666666666,1,0.00888824462890625,6.2576141357421875,12.423603525576048,632
45,1.8768749999999998,1,-0.0623016357421875,6.378570556640625,12.664336585128451,626
46,1.9185833333333333,1,0.00586700439453125,6.2943267822265625,12.496484090324904,620
47,1.9602916666666665,1,0.01026153564453125,6.404022216796875,12.714279459502587,612
48,2.002,1,-0.0020751953125,6.24053955078125,12.389692550700506,609
49,2.043708333333333,1,-0.030914306640625,6.48486328125,12.87490771276342,601
50,2.0854166666666667,1,0.02642822265625,6.455810546875,12.81718879956157,595
51,2.127125,1,-0.00323486328125,6.37200927734375,12.650707690018534,589
52,2.168833333333333,1,-0.002410888671875,6.432769775390625,12.77133816856774,572
53,2.2105416666666664,1,-0.0142059326171875,6.4731597900390625,12.851556772421711,570
54,2.2522499999999996,1,-0.0126190185546875,6.460113525390625,12.825648815510181,566
55,2.2939583333333333,1,0.0,0.0,12.825648815510181,566
56,2.3356666666666666,1,0.0049285888671875,6.44140625,12.788487490694136,564
57,2.377375,1,-0.00679779052734375,6.6025848388671875,13.108487553228054,560
58,2.419083333333333,1,6.103515625e-05,6.51898193359375,12.942499087051525,553
59,2.4607916666666667,1,-0.0050048828125,6.591339111328125,13.086157606901015,550
60,2.5025,1,-0.0059967041015625,6.5282135009765625,12.960832501165367,546
61,2.544208333333333,1,0.001434326171875,6.540679931640625,12.98557764663582,541
62,2.5859166666666664,1,-0.0032501220703125,6.5311737060546875,12.966705699099435,538
63,2.6276249999999997,1,-0.061767578125,6.7313232421875,13.364634777357702,537
64,2.6693333333333333,1,-0.00077056884765625,6.63885498046875,13.180489833239443,532
65,2.7110416666666666,1,-0.003997802734375,6.713714599609375,13.329115092313284,529
66,2.75275,1,0.0,0.0,13.329115092313284,529
67,2.794458333333333,1,-0.0037078857421875,6.711212158203125,13.324146526004672,526
68,2.8361666666666663,1,0.00299072265625,6.824462890625,13.548988800534032,518
69,2.877875,1,-0.0029296875,6.77581787109375,13.452411081577488,515
70,2.919583333333333,1,-0.018463134765625,6.8143310546875,13.528921858163745,509
71,2.9612916666666664,1,-0.00616455078125,6.877838134765625,13.65496183884942,506
72,3.0029999999999997,1,0.0039215087890625,6.979400634765625,13.856596247452343,500
