frame_idx,t_sec,ok,dx_px,dy_px,speed_mps,inlier_ratio,num_matches,inliers
0,0.0,0,0.0,0.0,0,,,
1,0.04170833333333333,1,-0.5482504542843819,5.06489685160689,10.11436207822406,0.9418181818181818,1650,1554
2,0.08341666666666667,1,-0.6902084717134191,5.042366883587955,10.104242724595725,0.9501597444089457,1565,1487
3,0.125125,1,-0.44274147865694136,5.092394059156107,10.14835338949375,0.9484346224677717,1629,1545
4,0.16683333333333333,1,-0.6543851980216009,4.946282155372235,9.905697757641386,0.9427527405602923,1642,1548
5,0.20854166666666665,1,-0.42427804072785724,5.191802960969301,10.341937689473973,0.9353806781829814,1563,1462
6,0.25025,1,-0.5631584957239096,5.0788472118610555,10.145117336111591,0.947463768115942,1656,1569
7,0.2919583333333333,1,-0.5403980662936714,5.223495199593062,10.425846847706639,0.9442033477991321,1613,1523
8,0.33366666666666667,1,-0.48174441284922465,4.989340062335319,9.951682611025854,0.9618593563766389,1678,1614
9,0.37537499999999996,1,0.0,0.0,9.951682611025854,1.0,2000,2000
10,0.4170833333333333,1,-0.5643899693534327,5.252996479656047,10.4890896233618,0.9325301204819277,1660,1548
11,0.45879166666666665,1,-0.6436633148506246,5.166948823493141,10.337521865735978,0.9284731774415406,1454,1350
12,0.5005,1,-0.6242138533405567,5.233111754457012,10.463240153827162,0.9388724035608309,1685,1582
13,0.5422083333333333,1,-0.49781357270307797,5.3148923891649185,10.598137517776903,0.9282750444576171,1687,1566
14,0.5839166666666666,1,-0.6300846045650109,5.063271200402718,10.129931201810704,0.9480676328502415,1656,1570
15,0.625625,1,-0.5674823221723213,5.190072112539664,10.365551340295923,0.9405469678953626,1682,1582
16,0.6673333333333333,1,-0.4566506072622911,5.08392614824256,10.13403798868781,0.9579881656804734,1690,1619
17,0.7090416666666666,1,-0.6521192759151757,5.153919992705597,10.313947821225973,0.9482862297053518,1663,1577
18,0.7507499999999999,1,-0.48180996678155186,5.303174065696924,10.572051919278492,0.9341317365269461,1670,1560
19,0.7924583333333333,1,-0.49904156499409685,5.228782616368566,10.428167517604926,0.9223684210526316,1520,1402
20,0.8341666666666666,1,-0.6529634351490334,5.289708070690557,10.5816623686567,0.9245960502692998,1671,1545
21,0.875875,1,0.0,0.0,10.5816623686567,1.0,2000,2000
22,0.9175833333333333,1,-0.5350997042807881,5.13688335842374,10.253724484614054,0.949021932424422,1687,1601
23,0.9592916666666667,1,-0.6645518556810308,5.050128611043304,10.112738716657324,0.9406420351302242,1651,1553
24,1.001,1,-0.44021200735695126,5.288880032955258,10.536618376456552,0.9597871082199881,1691,1623
25,1.0427083333333333,1,-0.6734172228718188,5.132623974784165,10.277418551601597,0.9438339438339438,1638,1546
26,1.0844166666666666,1,-0.5472284256533185,5.158166001824201,10.298264159014552,0.9435866983372921,1684,1589
27,1.1261249999999998,1,-0.5002446955066113,5.267178935211157,10.504281106721807,0.9333333333333333,1530,1428
28,1.1678333333333333,1,-0.5896145965337811,5.246606023379229,10.481949557037986,0.9361826697892272,1708,1599
29,1.2095416666666665,1,-0.5651423542502109,5.2046429013500255,10.393806105758209,0.9414385741565882,1571,1479
30,1.25125,1,-0.6251985373928612,5.145457540710279,10.29069657153039,0.9371951219512196,1640,1537
31,1.2929583333333332,1,-0.5520585035481816,4.998295454250059,9.983739816428836,0.9415623136553369,1677,1579
32,1.3346666666666667,1,1.4954168311985674e-14,2.543847516729321e-14,9.983739816428836,1.0,2000,2000
33,1.376375,1,-0.5974233750055542,5.1409817125596815,10.275364197834065,0.9404205607476636,1712,1610
34,1.4180833333333331,1,-0.5865748861523893,5.177688484308564,10.34530982857019,0.9339853300733496,1636,1528
35,1.4597916666666666,1,-0.6793655215642059,5.185713737582017,10.383461430146994,0.9493746277546159,1679,1594
36,1.5014999999999998,1,-0.5267957037430631,5.399797284727489,10.771415503757202,0.8402822322001283,1559,1310
37,1.5432083333333333,1,-0.5564610161043054,5.1937124189505175,10.370381997727248,0.9485160508782556,1651,1566
38,1.5849166666666665,1,-0.762746899957826,5.158944042377622,10.35368066263502,0.9339622641509434,1590,1485
39,1.626625,1,-0.6680510304865434,5.220691441139197,10.449445199851022,0.9540846750149076,1677,1600
40,1.6683333333333332,1,-0.682694339552751,5.025992477812773,10.070016215310567,0.8904731043421905,1543,1374
41,1.7100416666666665,1,-0.6850787827538406,5.198518929600816,10.410145333792906,0.9516417910447761,1675,1594
42,1.75175,1,-0.669437207696389,5.179667569955416,10.36901450168966,0.9559859154929577,1704,1629
43,1.7934583333333332,1,0.008774900107908603,-0.003842661022571278,10.36901450168966,0.9964735516372796,1985,1978
44,1.8351666666666666,1,-0.773277943340311,5.092799677940484,10.226908511598536,0.9546279491833031,1653,1578
45,1.8768749999999998,1,-0.5300579083873134,5.492701356562487,10.955626473568461,0.8870650032829941,1523,1351
46,1.9185833333333333,1,-0.5452140376266166,4.881966843970876,9.752697481461476,0.9151113786875377,1661,1520
47,1.9602916666666665,1,-0.7706490272219945,5.104877021805708,10.249834859307557,0.9349544072948328,1645,1538
48,2.002,1,-0.685905392759753,5.073800068514507,10.164927729746887,0.9439140811455847,1676,1582
49,2.043708333333333,1,-0.7068144837139596,5.222383574763166,10.462821117651966,0.9328214971209213,1563,1458
50,2.0854166666666667,1,-0.6449602000886531,5.173637284705795,10.351017319199872,0.9375375375375375,1665,1561
